time,x,y,theta
109.92,-2.1156609797401416e-10,-5.833620253525851e-10,4.229427030821853e-09
109.922,-2.1156609797401416e-10,-5.8336224739719e-10,4.2294283630894824e-09
109.927,1.1102230246251565e-16,2.220446049250313e-16,7.893136810821488e-09
109.932,1.1102230246251565e-16,2.220446049250313e-16,7.893139031267538e-09
109.937,-2.1156609797401416e-10,-5.8336224739719e-10,4.229433692160001e-09
109.941,1.1102230246251565e-16,2.220446049250313e-16,7.893142583981216e-09
109.945,1.1102230246251565e-16,2.220446049250313e-16,7.893144804427266e-09
109.949,-2.115659869517117e-10,-5.8336224739719e-10,4.229439021230519e-09
109.953,1.1102230246251565e-16,2.220446049250313e-16,7.893148357140944e-09
109.957,1.1102230246251565e-16,2.220446049250313e-16,7.893150577586994e-09
109.961,-2.11566542063224e-10,-5.833642457986343e-10,4.229433692160001e-09
109.966,-2.1156665308552647e-10,-5.833642457986343e-10,4.22943546851684e-09
109.971,1.1102230246251565e-16,2.220446049250313e-16,7.893155906657512e-09
109.975,1.1102230246251565e-16,2.220446049250313e-16,7.893158127103561e-09
109.979,-2.1156676410782893e-10,-5.833642457986343e-10,4.229440353498148e-09
109.984,-2.1156676410782893e-10,-5.833644678432393e-10,4.229442129854988e-09
109.988,1.1102230246251565e-16,2.220446049250313e-16,7.89316345617408e-09
109.993,-2.1156676410782893e-10,-5.833642457986343e-10,4.229445682568667e-09
109.997,1.1102230246251565e-16,2.220446049250313e-16,7.893167452976968e-09
110.003,1.1102230246251565e-16,2.220446049250313e-16,7.893169229333807e-09
110.006,-2.1156676410782893e-10,-5.833644678432393e-10,4.229451011639185e-09
110.011,-2.1156676410782893e-10,-5.833642457986343e-10,4.229452787996024e-09
110.014,1.1102230246251565e-16,2.220446049250313e-16,7.893175002493535e-09
110.02,1.1102230246251565e-16,2.220446049250313e-16,7.893177222939585e-09
110.023,-2.115674302416437e-10,-5.833664662446836e-10,4.229445682568667e-09
110.026,1.1102230246251565e-16,2.220446049250313e-16,7.893180775653263e-09
110.031,1.1102230246251565e-16,2.220446049250313e-16,7.893182552010103e-09
110.036,-2.115674302416437e-10,-5.833664662446836e-10,4.229450567549975e-09
110.039,1.1102230246251565e-16,2.220446049250313e-16,7.893186548812992e-09
110.042,1.1102230246251565e-16,2.220446049250313e-16,7.893188325169831e-09
110.047,-2.115674302416437e-10,-5.833666882892885e-10,4.229455896620493e-09
110.052,-2.1156731921934124e-10,-5.833666882892885e-10,4.2294576729773325e-09
110.056,1.1102230246251565e-16,2.220446049250313e-16,7.893194098329559e-09
110.06,1.1102230246251565e-16,2.220446049250313e-16,7.893196318775608e-09
110.066,1.1102230246251565e-16,2.220446049250313e-16,7.893198095132448e-09
110.069,-2.115674302416437e-10,-5.833669103338934e-10,4.22946433431548e-09
110.073,1.1102230246251565e-16,2.220446049250313e-16,7.893202091935336e-09
110.077,-1.1213097450557541e-08,-3.0918507754051916e-08,-1.8628512243878959e-07
110.082,-2.1156809637545848e-10,-5.833689087353378e-10,4.229457228888123e-09
110.086,1.1102230246251565e-16,2.220446049250313e-16,7.893207421005854e-09
110.091,1.1102230246251565e-16,2.220446049250313e-16,7.893209641451904e-09
110.097,1.1102230246251565e-16,2.220446049250313e-16,7.893211417808743e-09
110.101,-2.1156809637545848e-10,-5.833691307799427e-10,4.2294638902262705e-09
110.105,1.1102230246251565e-16,2.220446049250313e-16,7.893214970522422e-09
