time,x,y,theta
1859.497,-7.375211552584915e-13,-9.021006164289247e-12,-4.2703891800499605e-07
1859.497,3.177848595381505e-08,-1.6363352894899208e-09,1.0297908348277929e-07
1859.501,-5.777600620149315e-13,-4.36428670980149e-12,-4.270430329356145e-07
1859.504,-7.174261185127762e-13,-7.33835214816736e-12,-4.270486231305881e-07
1859.509,1.385891401639583e-12,2.2328139337446373e-11,-4.2704386293834773e-07
1859.511,-5.595524044110789e-13,-2.7338131758369855e-12,-4.2705070324444705e-07
1859.515,-8.079092950197264e-13,-8.764100556390986e-12,-4.2705659497599413e-07
1859.519,-7.172040739078511e-13,-8.963940700823514e-12,-4.27060782737243e-07
1859.523,3.178821617044747e-08,-1.632593837896934e-09,1.030899250409334e-07
1859.526,-5.679900993982301e-13,-3.814504268007113e-12,-4.2706339087317247e-07
1859.53,-7.633893517322576e-13,-7.995826223350377e-12,-4.270691942309668e-07
1859.533,3.178779184320746e-08,-1.6460277585395033e-09,1.0308406039882811e-07
1859.54,3.178751684096426e-08,-1.65305724664222e-09,1.0308283071580604e-07
1859.545,1.2781997682509427e-12,2.1041390851905817e-11,-4.2707195202495996e-07
1859.548,3.1788100485208304e-08,-1.6503949318291689e-09,1.0308769970990284e-07
1859.551,-7.980283101005625e-13,-8.627987213571942e-12,-4.2708464853546957e-07
1859.554,-7.015499292606364e-13,-8.695710818074076e-12,-4.27088797216868e-07
1859.557,3.1790891252825304e-08,-1.6220638165975743e-09,1.0309228004601323e-07
1859.561,-5.564437799421285e-13,-2.5588420271560608e-12,-4.2708886338616026e-07
1859.565,-8.617551117140465e-13,-9.376499576774222e-12,-4.270951494689257e-07
1859.57,-7.700506898800086e-13,-9.67914637328704e-12,-4.2709963299358833e-07
1859.573,3.1799328503723245e-08,-1.6529320134850423e-09,1.0321830323789527e-07
1859.576,-3.396172232328354e-13,-2.3565593920693573e-12,-4.2710567038639624e-07
1859.58,4.7839510131098e-13,1.0188960786194912e-11,-4.271059514948661e-07
1859.583,3.1799667454812663e-08,-1.6527128554599813e-09,1.0321582433192589e-07
1859.588,-1.1002310174035301e-13,1.56008539420327e-12,-4.2711529690819816e-07
1859.593,-6.011857678345223e-13,-5.630829136293869e-12,-4.2712035952519045e-07
1859.596,2.3150370509483764e-12,3.553335403694291e-11,-4.271111198050903e-07
1859.6,3.1800548083715796e-08,-1.6504897448754718e-09,1.0322115029381962e-07
1859.605,-9.25370891025068e-13,-1.0718759213546036e-11,-4.271248377207826e-07
1859.608,-8.216760605250784e-13,-1.144928596374939e-11,-4.2712866443750386e-07
1859.611,3.18009178990053e-08,-1.6590440132802087e-09,1.0321543575386727e-07
